Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Andaman & Nicobar Islands,2001,Burglary - Property,3. Burglary,27.0,64,755858.0,1321961
Andhra Pradesh,2001,Burglary - Property,3. Burglary,3321.0,7134,51483437.0,147019348
Arunachal Pradesh,2001,Burglary - Property,3. Burglary,66.0,248,825115.0,4931904
Assam,2001,Burglary - Property,3. Burglary,539.0,2423,3722850.0,21466955
Bihar,2001,Burglary - Property,3. Burglary,367.0,3231,2327135.0,17023937
Chandigarh,2001,Burglary - Property,3. Burglary,119.0,364,1804823.0,10217378
Chhattisgarh,2001,Burglary - Property,3. Burglary,1169.0,4144,6518261.0,30457033
Dadra & Nagar Haveli,2001,Burglary - Property,3. Burglary,10.0,34,247140.0,1333389
Daman & Diu,2001,Burglary - Property,3. Burglary,7.0,43,479300.0,2084845
Delhi,2001,Burglary - Property,3. Burglary,642.0,3029,39632177.0,150033824
Goa,2001,Burglary - Property,3. Burglary,65.0,347,895875.0,9991574
Gujarat,2001,Burglary - Property,3. Burglary,1124.0,4928,20821285.0,141650158
Haryana,2001,Burglary - Property,3. Burglary,1257.0,3098,27369980.0,64576543
Himachal Pradesh,2001,Burglary - Property,3. Burglary,93.0,812,2936881.0,17092490
Jammu & Kashmir,2001,Burglary - Property,3. Burglary,161.0,1345,2905184.0,27222163
Jharkhand,2001,Burglary - Property,3. Burglary,186.0,1150,757019.0,9552273
Karnataka,2001,Burglary - Property,3. Burglary,1768.0,6394,42221208.0,139393376
Kerala,2001,Burglary - Property,3. Burglary,815.0,4185,21414046.0,131614945
Lakshadweep,2001,Burglary - Property,3. Burglary,0.0,1,0.0,12000
Madhya Pradesh,2001,Burglary - Property,3. Burglary,3526.0,13549,31332930.0,118549565
Maharashtra,2001,Burglary - Property,3. Burglary,3595.0,13881,62519296.0,444283747
Manipur,2001,Burglary - Property,3. Burglary,3.0,75,58311.0,2658341
Meghalaya,2001,Burglary - Property,3. Burglary,50.0,170,324600.0,1354414
Mizoram,2001,Burglary - Property,3. Burglary,188.0,417,1595997.0,3249203
Nagaland,2001,Burglary - Property,3. Burglary,21.0,84,1413954.0,6922133
Odisha,2001,Burglary - Property,3. Burglary,1388.0,3061,8474685.0,46361453
Puducherry,2001,Burglary - Property,3. Burglary,34.0,111,549650.0,2857023
Punjab,2001,Burglary - Property,3. Burglary,721.0,1902,14056644.0,73809455
Rajasthan,2001,Burglary - Property,3. Burglary,1926.0,6867,35754908.0,117399424
Sikkim,2001,Burglary - Property,3. Burglary,16.0,71,217600.0,861706
Tamil Nadu,2001,Burglary - Property,3. Burglary,3227.0,5919,51446376.0,124908287
Tripura,2001,Burglary - Property,3. Burglary,42.0,198,358200.0,3156795
Uttar Pradesh,2001,Burglary - Property,3. Burglary,1081.0,6953,542439850.0,664903989
Uttarakhand,2001,Burglary - Property,3. Burglary,78.0,533,1005993.0,9915454
West Bengal,2001,Burglary - Property,3. Burglary,100.0,426,3066048.0,12787328
Andaman & Nicobar Islands,2002,Burglary - Property,3. Burglary,13.0,49,201275.0,491892
Andhra Pradesh,2002,Burglary - Property,3. Burglary,3166.0,7581,61296964.0,176224716
Arunachal Pradesh,2002,Burglary - Property,3. Burglary,66.0,249,4414636.0,8057641
Assam,2002,Burglary - Property,3. Burglary,484.0,2504,3594961.0,22146550
Bihar,2002,Burglary - Property,3. Burglary,371.0,3182,2490854.0,20176572
Chandigarh,2002,Burglary - Property,3. Burglary,83.0,336,3310301.0,13967262
Chhattisgarh,2002,Burglary - Property,3. Burglary,902.0,3731,6998830.0,30830441
Dadra & Nagar Haveli,2002,Burglary - Property,3. Burglary,13.0,38,1145571.0,2525660
Daman & Diu,2002,Burglary - Property,3. Burglary,14.0,56,2429100.0,4539519
Delhi,2002,Burglary - Property,3. Burglary,843.0,2360,7695881.0,131034713
Goa,2002,Burglary - Property,3. Burglary,74.0,359,1753917.0,12622949
Gujarat,2002,Burglary - Property,3. Burglary,1183.0,5153,21424048.0,181149074
Haryana,2002,Burglary - Property,3. Burglary,1360.0,3048,28293801.0,66317650
Himachal Pradesh,2002,Burglary - Property,3. Burglary,121.0,642,1595224.0,84519165
Jammu & Kashmir,2002,Burglary - Property,3. Burglary,167.0,1321,3479429.0,31854450
Jharkhand,2002,Burglary - Property,3. Burglary,220.0,1419,1208261.0,10289240
Karnataka,2002,Burglary - Property,3. Burglary,1987.0,6480,61391062.0,178997480
Kerala,2002,Burglary - Property,3. Burglary,928.0,4447,20039092.0,197320724
Lakshadweep,2002,Burglary - Property,3. Burglary,2.0,9,26795.0,115645
Madhya Pradesh,2002,Burglary - Property,3. Burglary,4107.0,13344,31684582.0,139525244
Maharashtra,2002,Burglary - Property,3. Burglary,3634.0,13273,73463306.0,468021474
Manipur,2002,Burglary - Property,3. Burglary,1.0,44,9525.0,4136635
Meghalaya,2002,Burglary - Property,3. Burglary,18.0,153,235630.0,2883366
Mizoram,2002,Burglary - Property,3. Burglary,217.0,446,2257657.0,13007402
Nagaland,2002,Burglary - Property,3. Burglary,34.0,110,413370.0,4121381
Odisha,2002,Burglary - Property,3. Burglary,1087.0,2755,11344562.0,44470276
Puducherry,2002,Burglary - Property,3. Burglary,38.0,129,1135868.0,3208215
Punjab,2002,Burglary - Property,3. Burglary,770.0,1928,18281270.0,77239545
Rajasthan,2002,Burglary - Property,3. Burglary,1855.0,6300,38679925.0,112170907
Sikkim,2002,Burglary - Property,3. Burglary,9.0,45,24600.0,171030
Tamil Nadu,2002,Burglary - Property,3. Burglary,2953.0,5492,45654971.0,115086173
Tripura,2002,Burglary - Property,3. Burglary,39.0,192,276519.0,3096253
Uttar Pradesh,2002,Burglary - Property,3. Burglary,1028.0,4861,36078709.0,121312730
Uttarakhand,2002,Burglary - Property,3. Burglary,113.0,496,3509806.0,14733698
West Bengal,2002,Burglary - Property,3. Burglary,128.0,348,1701319.0,14912291
Andaman & Nicobar Islands,2003,Burglary - Property,3. Burglary,16.0,56,681962.0,1068059
Andhra Pradesh,2003,Burglary - Property,3. Burglary,3475.0,8969,64794798.0,195788844
Arunachal Pradesh,2003,Burglary - Property,3. Burglary,83.0,253,12276582.0,18114179
Assam,2003,Burglary - Property,3. Burglary,509.0,2606,4036694.0,19841323
Bihar,2003,Burglary - Property,3. Burglary,305.0,2986,1719760.0,19821137
Chandigarh,2003,Burglary - Property,3. Burglary,85.0,204,1336159.0,7223758
Chhattisgarh,2003,Burglary - Property,3. Burglary,968.0,3621,8190813.0,38433339
Dadra & Nagar Haveli,2003,Burglary - Property,3. Burglary,12.0,41,3336861.0,6259345
Daman & Diu,2003,Burglary - Property,3. Burglary,5.0,41,141411.0,1419192
Delhi,2003,Burglary - Property,3. Burglary,758.0,1898,4268081.0,84069640
Goa,2003,Burglary - Property,3. Burglary,109.0,244,2170727.0,10457254
Gujarat,2003,Burglary - Property,3. Burglary,1334.0,5684,27303140.0,186884277
Haryana,2003,Burglary - Property,3. Burglary,1411.0,2967,35400318.0,68528246
Himachal Pradesh,2003,Burglary - Property,3. Burglary,105.0,645,1556198.0,13237009
Jammu & Kashmir,2003,Burglary - Property,3. Burglary,224.0,1526,5203336.0,40211927
Jharkhand,2003,Burglary - Property,3. Burglary,192.0,1374,1175731.0,10735942
Karnataka,2003,Burglary - Property,3. Burglary,1530.0,6049,36028899.0,147855476
Kerala,2003,Burglary - Property,3. Burglary,1053.0,4164,18605342.0,136448825
Lakshadweep,2003,Burglary - Property,3. Burglary,0.0,6,0.0,65000
Madhya Pradesh,2003,Burglary - Property,3. Burglary,3589.0,12641,29830876.0,155291507
Maharashtra,2003,Burglary - Property,3. Burglary,3766.0,13202,65230975.0,635796246
Manipur,2003,Burglary - Property,3. Burglary,1.0,68,1800.0,3049066
Meghalaya,2003,Burglary - Property,3. Burglary,13.0,160,156430.0,75269392
Mizoram,2003,Burglary - Property,3. Burglary,268.0,487,3079379.0,4920998
Nagaland,2003,Burglary - Property,3. Burglary,19.0,82,603404.0,2172262
Odisha,2003,Burglary - Property,3. Burglary,1231.0,2910,13996401.0,48730506
Puducherry,2003,Burglary - Property,3. Burglary,56.0,126,1679750.0,6744373
